Sample_ID	Mouse_ID	Description	Treatment	Group	Age_at_injection_weeks	Age_at_blood_collection_weeks	AMH	FSH	INHBA	
1	MM001	Pre-menopausal_ctrl_F_MM001	Untreated	CTL	17	17	186.831	8.02	821.043	
2	MM002	Pre-menopausal_ctrl_F_MM002	Untreated	CTL	17	17	215.207	3.63	535.571	
3	MM003	Pre-menopausal_ctrl_F_MM003	Untreated	CTL	17	17	136.793	3.46	1269.486	
4	MM004	Pre-menopausal_ctrl_F_MM004	Untreated	CTL	17	17	180.921	5.33	487.445	
5	MM005	Pre-menopausal_ctrl_F_MM005	Untreated	CTL	17	17	138.668	4.13	933.7	
6	MM006	Peri-menopausal_ctrl_F_MM006	Safflower_oil	CTL	17	26	181.514	5.89	436.038	
7	MM007	Peri-menopausal_ctrl_F_MM007	Safflower_oil	CTL	17	26	177.73	3.04	923.857	
8	MM008	Peri-menopausal_ctrl_F_MM008	Safflower_oil	CTL	17	26	241.529	3.71	256.661	
9	MM009	Peri-menopausal_ctrl_F_MM009	Safflower_oil	CTL	17	26	166.06	3.08	1045.264	
10	MM010	Peri-menopausal_ctrl_F_MM010	Safflower_oil	CTL	17	26	174.459	4.9	1021.202	
16	MM016	Post-menopausal_ctrl_F_MM016	Safflower_oil	CTL	17	39	120.434	6.4	865.887	
17	MM017	Post-menopausal_ctrl_F_MM017	Safflower_oil	CTL	17	39	142.508	3.12	714.948	
18	MM018	Post-menopausal_ctrl_F_MM018	Safflower_oil	CTL	17	39	209.639	21.54	111.191	
19	MM019	Post-menopausal_ctrl_F_MM019	Safflower_oil	CTL	17	39	109.286	11.73	373.694	
20	MM020	Post-menopausal_ctrl_F_MM020	Safflower_oil	CTL	17	39	174.207	1.96	763.073	
40	MeMo001	MeMo_6M_Vehicle_Pre-Injection_MeMo001	Untreated	CTL	24	24	214.869	35.47	235.495	
41	MeMo002	MeMo_6M_Vehicle_Pre-Injection_MeMo002	Untreated	CTL	24	24	212.489	2.06	780.249	
